Date Quarter Ended,Quarter,Industry Code,Industry Type,Industry,GDP (millions of current dollars)
03/31/2007,2007Q1,78,Private Industries,Accommodation and food services,2559
03/31/2007,2007Q1,81,Private Industries,"Other services, except government",2796
03/31/2007,2007Q1,82,Government,Government,14966
06/30/2007,2007Q2,3,Private Industries,"Agriculture, forestry, fishing, and hunting",6094
06/30/2007,2007Q2,6,Private Industries,Mining,324
06/30/2007,2007Q2,10,Private Industries,Utilities,2617
06/30/2007,2007Q2,11,Private Industries,Construction,5613
06/30/2007,2007Q2,12,Private Industries,Manufacturing,26033
06/30/2007,2007Q2,34,Private Industries,Wholesale trade,7346
06/30/2007,2007Q2,35,Private Industries,Retail trade,7556
06/30/2007,2007Q2,36,Private Industries,Transportation and warehousing,4909
06/30/2007,2007Q2,45,Private Industries,Information,4519
06/30/2007,2007Q2,51,Private Industries,Finance and insurance,20537
06/30/2007,2007Q2,56,Private Industries,Real estate and rental and leasing,12880
06/30/2007,2007Q2,60,Private Industries,"Professional, scientific, and technical services",3732
06/30/2007,2007Q2,64,Private Industries,Management of companies and enterprises,1425
06/30/2007,2007Q2,65,Private Industries,Administrative and waste management services,2696
06/30/2007,2007Q2,69,Private Industries,Educational services,1083
06/30/2007,2007Q2,70,Private Industries,Health care and social assistance,8761
06/30/2007,2007Q2,75,Private Industries,"Arts, entertainment, and recreation",1103
06/30/2007,2007Q2,78,Private Industries,Accommodation and food services,2635
06/30/2007,2007Q2,81,Private Industries,"Other services, except government",2844
06/30/2007,2007Q2,82,Government,Government,15144
09/30/2007,2007Q3,3,Private Industries,"Agriculture, forestry, fishing, and hunting",5840
09/30/2007,2007Q3,6,Private Industries,Mining,309
09/30/2007,2007Q3,10,Private Industries,Utilities,2539
09/30/2007,2007Q3,11,Private Industries,Construction,5672
09/30/2007,2007Q3,12,Private Industries,Manufacturing,26397
09/30/2007,2007Q3,34,Private Industries,Wholesale trade,7473
09/30/2007,2007Q3,35,Private Industries,Retail trade,7530
09/30/2007,2007Q3,36,Private Industries,Transportation and warehousing,4670
09/30/2007,2007Q3,45,Private Industries,Information,4610
09/30/2007,2007Q3,51,Private Industries,Finance and insurance,20106
09/30/2007,2007Q3,56,Private Industries,Real estate and rental and leasing,13427
09/30/2007,2007Q3,60,Private Industries,"Professional, scientific, and technical services",3823
09/30/2007,2007Q3,64,Private Industries,Management of companies and enterprises,1367
09/30/2007,2007Q3,65,Private Industries,Administrative and waste management services,2810
09/30/2007,2007Q3,69,Private Industries,Educational services,1116
09/30/2007,2007Q3,70,Private Industries,Health care and social assistance,8859
09/30/2007,2007Q3,75,Private Industries,"Arts, entertainment, and recreation",1114
09/30/2007,2007Q3,78,Private Industries,Accommodation and food services,2684
09/30/2007,2007Q3,81,Private Industries,"Other services, except government",2855
09/30/2007,2007Q3,82,Government,Government,15351
12/31/2007,2007Q4,3,Private Industries,"Agriculture, forestry, fishing, and hunting",6874
12/31/2007,2007Q4,6,Private Industries,Mining,318
12/31/2007,2007Q4,10,Private Industries,Utilities,2394
12/31/2007,2007Q4,11,Private Industries,Construction,5693
12/31/2007,2007Q4,12,Private Industries,Manufacturing,27026
12/31/2007,2007Q4,34,Private Industries,Wholesale trade,7589
12/31/2007,2007Q4,35,Private Industries,Retail trade,7609
12/31/2007,2007Q4,36,Private Industries,Transportation and warehousing,4845
12/31/2007,2007Q4,45,Private Industries,Information,4674
12/31/2007,2007Q4,51,Private Industries,Finance and insurance,18468
12/31/2007,2007Q4,56,Private Industries,Real estate and rental and leasing,13904
12/31/2007,2007Q4,60,Private Industries,"Professional, scientific, and technical services",3935
12/31/2007,2007Q4,64,Private Industries,Management of companies and enterprises,1353
12/31/2007,2007Q4,65,Private Industries,Administrative and waste management services,2893
12/31/2007,2007Q4,69,Private Industries,Educational services,1146
12/31/2007,2007Q4,70,Private Industries,Health care and social assistance,8991
12/31/2007,2007Q4,75,Private Industries,"Arts, entertainment, and recreation",1091
12/31/2007,2007Q4,78,Private Industries,Accommodation and food services,2732
12/31/2007,2007Q4,81,Private Industries,"Other services, except government",2859
12/31/2007,2007Q4,82,Government,Government,15502
03/31/2008,2008Q1,3,Private Industries,"Agriculture, forestry, fishing, and hunting",9431
03/31/2008,2008Q1,6,Private Industries,Mining,327
03/31/2008,2008Q1,10,Private Industries,Utilities,2823
03/31/2008,2008Q1,11,Private Industries,Construction,5430
03/31/2008,2008Q1,12,Private Industries,Manufacturing,25998
03/31/2008,2008Q1,34,Private Industries,Wholesale trade,7821
03/31/2008,2008Q1,35,Private Industries,Retail trade,7613
03/31/2008,2008Q1,36,Private Industries,Transportation and warehousing,4709
03/31/2008,2008Q1,45,Private Industries,Information,4576
03/31/2008,2008Q1,51,Private Industries,Finance and insurance,15907
03/31/2008,2008Q1,56,Private Industries,Real estate and rental and leasing,13636
03/31/2008,2008Q1,60,Private Industries,"Professional, scientific, and technical services",3991
03/31/2008,2008Q1,64,Private Industries,Management of companies and enterprises,1285
03/31/2008,2008Q1,65,Private Industries,Administrative and waste management services,2877
03/31/2008,2008Q1,69,Private Industries,Educational services,1147
03/31/2008,2008Q1,70,Private Industries,Health care and social assistance,9206
03/31/2008,2008Q1,75,Private Industries,"Arts, entertainment, and recreation",1118
03/31/2008,2008Q1,78,Private Industries,Accommodation and food services,2695
03/31/2008,2008Q1,81,Private Industries,"Other services, except government",2828
03/31/2008,2008Q1,82,Government,Government,15760
06/30/2008,2008Q2,3,Private Industries,"Agriculture, forestry, fishing, and hunting",8789
